allotrope,r,elements,G(r),type
alpha,0.005,BB,0,NNP
alpha,0.005,BAg,0,NNP
alpha,0.005,AgAg,0,NNP
alpha,0.015,BB,0,NNP
alpha,0.015,BAg,0,NNP
alpha,0.015,AgAg,0,NNP
alpha,0.025,BB,0,NNP
alpha,0.025,BAg,0,NNP
alpha,0.025,AgAg,0,NNP
alpha,0.035,BB,0,NNP
alpha,0.035,BAg,0,NNP
alpha,0.035,AgAg,0,NNP
alpha,0.045,BB,0,NNP
alpha,0.045,BAg,0,NNP
alpha,0.045,AgAg,0,NNP
alpha,0.055,BB,0,NNP
alpha,0.055,BAg,0,NNP
alpha,0.055,AgAg,0,NNP
alpha,0.065,BB,0,NNP
alpha,0.065,BAg,0,NNP
alpha,0.065,AgAg,0,NNP
alpha,0.075,BB,0,NNP
alpha,0.075,BAg,0,NNP
alpha,0.075,AgAg,0,NNP
alpha,0.085,BB,0,NNP
alpha,0.085,BAg,0,NNP
alpha,0.085,AgAg,0,NNP
alpha,0.095,BB,0,NNP
alpha,0.095,BAg,0,NNP
alpha,0.095,AgAg,0,NNP
alpha,0.105,BB,0,NNP
alpha,0.105,BAg,0,NNP
alpha,0.105,AgAg,0,NNP
alpha,0.115,BB,0,NNP
alpha,0.115,BAg,0,NNP
alpha,0.115,AgAg,0,NNP
alpha,0.125,BB,0,NNP
alpha,0.125,BAg,0,NNP
alpha,0.125,AgAg,0,NNP
alpha,0.135,BB,0,NNP
alpha,0.135,BAg,0,NNP
alpha,0.135,AgAg,0,NNP
alpha,0.145,BB,0,NNP
alpha,0.145,BAg,0,NNP
alpha,0.145,AgAg,0,NNP
alpha,0.155,BB,0,NNP
alpha,0.155,BAg,0,NNP
alpha,0.155,AgAg,0,NNP
alpha,0.165,BB,0,NNP
alpha,0.165,BAg,0,NNP
alpha,0.165,AgAg,0,NNP
alpha,0.175,BB,0,NNP
alpha,0.175,BAg,0,NNP
alpha,0.175,AgAg,0,NNP
alpha,0.185,BB,0,NNP
alpha,0.185,BAg,0,NNP
alpha,0.185,AgAg,0,NNP
alpha,0.195,BB,0,NNP
alpha,0.195,BAg,0,NNP
alpha,0.195,AgAg,0,NNP
alpha,0.205,BB,0,NNP
alpha,0.205,BAg,0,NNP
alpha,0.205,AgAg,0,NNP
alpha,0.215,BB,0,NNP
alpha,0.215,BAg,0,NNP
alpha,0.215,AgAg,0,NNP
alpha,0.225,BB,0,NNP
alpha,0.225,BAg,0,NNP
alpha,0.225,AgAg,0,NNP
alpha,0.235,BB,0,NNP
alpha,0.235,BAg,0,NNP
alpha,0.235,AgAg,0,NNP
alpha,0.245,BB,0,NNP
alpha,0.245,BAg,0,NNP
alpha,0.245,AgAg,0,NNP
alpha,0.255,BB,0,NNP
alpha,0.255,BAg,0,NNP
alpha,0.255,AgAg,0,NNP
alpha,0.265,BB,0,NNP
alpha,0.265,BAg,0,NNP
alpha,0.265,AgAg,0,NNP
alpha,0.275,BB,0,NNP
alpha,0.275,BAg,0,NNP
alpha,0.275,AgAg,0,NNP
alpha,0.285,BB,0,NNP
alpha,0.285,BAg,0,NNP
alpha,0.285,AgAg,0,NNP
alpha,0.295,BB,0,NNP
alpha,0.295,BAg,0,NNP
alpha,0.295,AgAg,0,NNP
alpha,0.305,BB,0,NNP
alpha,0.305,BAg,0,NNP
alpha,0.305,AgAg,0,NNP
alpha,0.315,BB,0,NNP
alpha,0.315,BAg,0,NNP
alpha,0.315,AgAg,0,NNP
alpha,0.325,BB,0,NNP
alpha,0.325,BAg,0,NNP
alpha,0.325,AgAg,0,NNP
alpha,0.335,BB,0,NNP
alpha,0.335,BAg,0,NNP
alpha,0.335,AgAg,0,NNP
alpha,0.345,BB,0,NNP
alpha,0.345,BAg,0,NNP
alpha,0.345,AgAg,0,NNP
alpha,0.355,BB,0,NNP
alpha,0.355,BAg,0,NNP
alpha,0.355,AgAg,0,NNP
alpha,0.365,BB,0,NNP
alpha,0.365,BAg,0,NNP
alpha,0.365,AgAg,0,NNP
alpha,0.375,BB,0,NNP
alpha,0.375,BAg,0,NNP
alpha,0.375,AgAg,0,NNP
alpha,0.385,BB,0,NNP
alpha,0.385,BAg,0,NNP
alpha,0.385,AgAg,0,NNP
alpha,0.395,BB,0,NNP
alpha,0.395,BAg,0,NNP
alpha,0.395,AgAg,0,NNP
alpha,0.405,BB,0,NNP
alpha,0.405,BAg,0,NNP
alpha,0.405,AgAg,0,NNP
alpha,0.415,BB,0,NNP
alpha,0.415,BAg,0,NNP
alpha,0.415,AgAg,0,NNP
alpha,0.425,BB,0,NNP
alpha,0.425,BAg,0,NNP
alpha,0.425,AgAg,0,NNP
alpha,0.435,BB,0,NNP
alpha,0.435,BAg,0,NNP
alpha,0.435,AgAg,0,NNP
alpha,0.445,BB,0,NNP
alpha,0.445,BAg,0,NNP
alpha,0.445,AgAg,0,NNP
alpha,0.455,BB,0,NNP
alpha,0.455,BAg,0,NNP
alpha,0.455,AgAg,0,NNP
alpha,0.465,BB,0,NNP
alpha,0.465,BAg,0,NNP
alpha,0.465,AgAg,0,NNP
alpha,0.475,BB,0,NNP
alpha,0.475,BAg,0,NNP
alpha,0.475,AgAg,0,NNP
alpha,0.485,BB,0,NNP
alpha,0.485,BAg,0,NNP
alpha,0.485,AgAg,0,NNP
alpha,0.495,BB,0,NNP
alpha,0.495,BAg,0,NNP
alpha,0.495,AgAg,0,NNP
alpha,0.505,BB,0,NNP
alpha,0.505,BAg,0,NNP
alpha,0.505,AgAg,0,NNP
alpha,0.515,BB,0,NNP
alpha,0.515,BAg,0,NNP
alpha,0.515,AgAg,0,NNP
alpha,0.525,BB,0,NNP
alpha,0.525,BAg,0,NNP
alpha,0.525,AgAg,0,NNP
alpha,0.535,BB,0,NNP
alpha,0.535,BAg,0,NNP
alpha,0.535,AgAg,0,NNP
alpha,0.545,BB,0,NNP
alpha,0.545,BAg,0,NNP
alpha,0.545,AgAg,0,NNP
alpha,0.555,BB,0,NNP
alpha,0.555,BAg,0,NNP
alpha,0.555,AgAg,0,NNP
alpha,0.565,BB,0,NNP
alpha,0.565,BAg,0,NNP
alpha,0.565,AgAg,0,NNP
alpha,0.575,BB,0,NNP
alpha,0.575,BAg,0,NNP
alpha,0.575,AgAg,0,NNP
alpha,0.585,BB,0,NNP
alpha,0.585,BAg,0,NNP
alpha,0.585,AgAg,0,NNP
alpha,0.595,BB,0,NNP
alpha,0.595,BAg,0,NNP
alpha,0.595,AgAg,0,NNP
alpha,0.605,BB,0,NNP
alpha,0.605,BAg,0,NNP
alpha,0.605,AgAg,0,NNP
alpha,0.615,BB,0,NNP
alpha,0.615,BAg,0,NNP
alpha,0.615,AgAg,0,NNP
alpha,0.625,BB,0,NNP
alpha,0.625,BAg,0,NNP
alpha,0.625,AgAg,0,NNP
alpha,0.635,BB,0,NNP
alpha,0.635,BAg,0,NNP
alpha,0.635,AgAg,0,NNP
alpha,0.645,BB,0,NNP
alpha,0.645,BAg,0,NNP
alpha,0.645,AgAg,0,NNP
alpha,0.655,BB,0,NNP
alpha,0.655,BAg,0,NNP
alpha,0.655,AgAg,0,NNP
alpha,0.665,BB,0,NNP
alpha,0.665,BAg,0,NNP
alpha,0.665,AgAg,0,NNP
alpha,0.675,BB,0,NNP
alpha,0.675,BAg,0,NNP
alpha,0.675,AgAg,0,NNP
alpha,0.685,BB,0,NNP
alpha,0.685,BAg,0,NNP
alpha,0.685,AgAg,0,NNP
alpha,0.695,BB,0,NNP
alpha,0.695,BAg,0,NNP
alpha,0.695,AgAg,0,NNP
alpha,0.705,BB,0,NNP
alpha,0.705,BAg,0,NNP
alpha,0.705,AgAg,0,NNP
alpha,0.715,BB,0,NNP
alpha,0.715,BAg,0,NNP
alpha,0.715,AgAg,0,NNP
alpha,0.725,BB,0,NNP
alpha,0.725,BAg,0,NNP
alpha,0.725,AgAg,0,NNP
alpha,0.735,BB,0,NNP
alpha,0.735,BAg,0,NNP
alpha,0.735,AgAg,0,NNP
alpha,0.745,BB,0,NNP
alpha,0.745,BAg,0,NNP
alpha,0.745,AgAg,0,NNP
alpha,0.755,BB,0,NNP
alpha,0.755,BAg,0,NNP
alpha,0.755,AgAg,0,NNP
alpha,0.765,BB,0,NNP
alpha,0.765,BAg,0,NNP
alpha,0.765,AgAg,0,NNP
alpha,0.775,BB,0,NNP
alpha,0.775,BAg,0,NNP
alpha,0.775,AgAg,0,NNP
alpha,0.785,BB,0,NNP
alpha,0.785,BAg,0,NNP
alpha,0.785,AgAg,0,NNP
alpha,0.795,BB,0,NNP
alpha,0.795,BAg,0,NNP
alpha,0.795,AgAg,0,NNP
alpha,0.805,BB,0,NNP
alpha,0.805,BAg,0,NNP
alpha,0.805,AgAg,0,NNP
alpha,0.815,BB,0,NNP
alpha,0.815,BAg,0,NNP
alpha,0.815,AgAg,0,NNP
alpha,0.825,BB,0,NNP
alpha,0.825,BAg,0,NNP
alpha,0.825,AgAg,0,NNP
alpha,0.835,BB,0,NNP
alpha,0.835,BAg,0,NNP
alpha,0.835,AgAg,0,NNP
alpha,0.845,BB,0,NNP
alpha,0.845,BAg,0,NNP
alpha,0.845,AgAg,0,NNP
alpha,0.855,BB,0,NNP
alpha,0.855,BAg,0,NNP
alpha,0.855,AgAg,0,NNP
alpha,0.865,BB,0,NNP
alpha,0.865,BAg,0,NNP
alpha,0.865,AgAg,0,NNP
alpha,0.875,BB,0,NNP
alpha,0.875,BAg,0,NNP
alpha,0.875,AgAg,0,NNP
alpha,0.885,BB,0,NNP
alpha,0.885,BAg,0,NNP
alpha,0.885,AgAg,0,NNP
alpha,0.895,BB,0,NNP
alpha,0.895,BAg,0,NNP
alpha,0.895,AgAg,0,NNP
alpha,0.905,BB,0,NNP
alpha,0.905,BAg,0,NNP
alpha,0.905,AgAg,0,NNP
alpha,0.915,BB,0,NNP
alpha,0.915,BAg,0,NNP
alpha,0.915,AgAg,0,NNP
alpha,0.925,BB,0,NNP
alpha,0.925,BAg,0,NNP
alpha,0.925,AgAg,0,NNP
alpha,0.935,BB,0,NNP
alpha,0.935,BAg,0,NNP
alpha,0.935,AgAg,0,NNP
alpha,0.945,BB,0,NNP
alpha,0.945,BAg,0,NNP
alpha,0.945,AgAg,0,NNP
alpha,0.955,BB,0,NNP
alpha,0.955,BAg,0,NNP
