Sample,P,Vads,Nads
DEZ,9.99999999999998e-10,0,0
DEZ,2.8072162039411717e-9,2.914999702589359e-5,1.0000000000007113e-5
DEZ,7.880462815669898e-9,8.744999107759325e-5,2.9999999999991314e-5
DEZ,2.212216291070445e-8,2.9149997025875357e-4,1.0000000000000858e-4
DEZ,6.210169418915605e-8,7.578999226728455e-4,2.6000000000005186e-4
DEZ,1.7433288221999852e-7,0.002623499732328596,9.000000000000133e-4
DEZ,4.893900918477486e-7,0.0062963993575886985,0.002160000000000055
DEZ,1.3738237958832609e-6,0.021629297793198058,0.0074200000000001366
DEZ,3.856620421163466e-6,0.06404254346584326,0.021970000000000205
DEZ,1.082636733874053e-5,0.2125326283156414,0.07291000000000082
DEZ,3.039195382313194e-5,1.0821353395915256,0.37123000000001627
DEZ,8.531678524172799e-5,7.0521073438567425,2.4192480491841755
DEZ,2.3950266199874827e-4,18.95782559478522,6.503542891602594
DEZ,6.72335753649933e-4,31.140040301092746,10.682690730106618
DEZ,0.0018873918221350952,40.1558598393309,13.775596547639264
DEZ,0.005298316906283703,42.0613592667029,14.429284239504456
DEZ,0.0148735210729351,44.5,15.960822206605759
DEZ,0.041753189365603974,45.49363007338428,15.606735751295341
DEZ,0.11721022975334792,46,17.035458452722075
DEZ,0.3290344562312666,46.04148014560628,15.794677476207264
DEZ,0.9236708571873856,46.537842560955475,15.964956195244058
DEZ,2.592943797404666,46.639995241396576,16
DEZ,7.278953843983147,46.639995241396576,16
DEZ,20.43359717856941,46.639995241396576,16
DEZ,57.361525104486766,46.639995241396576,16
DEZ,161.02620275609388,46.6,17.99860500000187
DEZ,452.0353656360242,46.639995241396576,16
DEZ,1268.961003167922,46.639995241396576,16
DEZ,3562.247890262442,69.95999286209485,24
DEZ,10000,69.95999286209485,24
TMA,9.99999999999998e-10,23.319997620698288,8
TMA,2.8072162039411717e-9,23.319997620698288,8
TMA,7.880462815669898e-9,23.319997620698288,8
TMA,2.212216291070445e-8,23.319997620698288,8
TMA,6.210169418915605e-8,23.319997620698288,8
TMA,1.7433288221999852e-7,23.319997620698288,8
TMA,4.893900918477486e-7,23.319997620698288,8
TMA,1.3738237958832609e-6,23.319997620698288,8
TMA,3.856620421163466e-6,23.319997620698288,8
TMA,1.082636733874053e-5,23.319997620698288,8
TMA,3.039195382313194e-5,23.32040389243384,8.0001393728223
TMA,8.531678524172799e-5,23.319997620698288,8
TMA,2.3950266199874827e-4,23.319997620698288,8
TMA,6.72335753649933e-4,23.319997620698288,8
TMA,0.0018873918221350952,23.319997620698288,8
TMA,0.005298316906283703,45.205119268391655,15.507761194029847
TMA,0.0148735210729351,46,16
TMA,0.041753189365603974,46.639995241396576,16
TMA,0.11721022975334792,46.639995241396576,16
TMA,0.3290344562312666,46.84917245412883,16.071758913919133
TMA,0.9236708571873856,69.95999286209485,24
TMA,2.592943797404666,69.95999286209485,24
TMA,7.278953843983147,69.95999286209485,24
TMA,20.43359717856941,72.87499256468215,25
TMA,57.361525104486766,72.87499256468215,25
TMA,161.02620275609388,72.87499256468215,25
TMA,452.0353656360242,72.87499256468215,25
TMA,1268.961003167922,75.78999226726943,26
TMA,3562.247890262442,75.78999226726943,26
TMA,10000,72.87499256468215,25
